id;year;country;event;artist;title;points_total;rank
1;1957;B;3;Bobbejan Schoepen;Straatdeuntje;5;8
2;1957;LUX;3;Danièle Dupré;Tant de peine;8;4
3;1957;UK;3;Patricia Bredin;All;6;7
4;1957;I;3;Nunzio Gallo;Corde della mia chitarra;7;6
5;1957;AUT;3;Bob Martin;Wohin, kleines Pony?;3;10
6;1957;NL;3;Corry Brokken;Net als toen;31;1
7;1957;D;3;Margot Hielscher;Telefon, Telefon;8;4
8;1957;F;3;Paule Desjardins;La belle amour;17;2
9;1957;DK;3;Birthe Wilke & Gustav Winckler;Skibet skal selje i nat;10;3
10;1957;CH;3;Lys Assia;L'enfant que j'étais;5;8
11;1958;I;3;Domenico Modugno;Nel blu dipinto di blu;13;3
12;1958;NL;3;Corry Brokken;Heel de wereld;1;9
13;1958;F;3;André Claveau;Dors, mon amour;27;1
14;1958;LUX;3;Solange Berry;Un grand amour;1;9
15;1958;S;3;Alice Babs;Lilla stjärna;10;4
16;1958;DK;3;Raquel Rastenni;Jeg rev et blad du af min dagbog;3;8
17;1958;B;3;Fud Leclerc;Ma petite chatte;8;5
18;1958;D;3;Margot Hielscher;Für zwei Groschen Musik;5;7
19;1958;AUT;3;Liane Augustin;Die ganze Welt braucht Liebe;8;5
20;1958;CH;3;Lys Assia;Giorgio;24;2
21;1959;F;3;Jean Philippe;Oui, oui, oui, oui;15;3
22;1959;DK;3;Birthe Wilke;Uh, jeg ville ønske jeg var dig;12;5
23;1959;I;3;Domenico Modugno;Piove;9;6
24;1959;MC;3;Jacques Pills;Mon ami Pierrot;1;11
25;1959;NL;3;Teddy Scholten;Een beetje;21;1
26;1959;D;3;Alice & Ellen Kessler;Heute abend woll'n wir tanzen geh'n;5;8
27;1959;S;3;Brita Borg;Augustin;4;9
28;1959;CH;3;Christa Williams;Irgendwoher;14;4
29;1959;AUT;3;Ferry Graf;Der k. u. k. Kalypso aus Wien;4;9
30;1959;UK;3;Pearl Carr & Teddy Johnson;Sing Little Birdie;16;2
31;1959;B;3;Bob Benny;Hou toch von mij;9;6
32;1960;UK;3;Bryan Johnson;Looking High, High, High;25;2
33;1960;S;3;Siw Malmkvist;Alla andra får varann;4;10
34;1960;LUX;3;Camillo Felgen;So laang we's du do bast;1;13
35;1960;DK;3;Katy Bødtger;Det var en yndig tid;4;10
36;1960;B;3;Fud Leclerc;Mon amour pour toi;9;6
37;1960;N;3;Nora Brockstedt;Voi-voi;11;4
38;1960;AUT;3;Harry Winter;Du hast mich so fasziniert;6;7
39;1960;MC;3;François Deguelt;Ce soir là;15;3
40;1960;CH;3;Anita Traversi;Cielo e terra;5;8
41;1960;NL;3;Rudi Carrell;Wat een geluk;2;12
42;1960;D;3;Wyn Hoop;Bonne nuit, ma chérie;11;4
43;1960;I;3;Renato Rascel;Romantica;5;8
44;1960;F;3;Jacqueline Boyer;Tom Pillibi;32;1
45;1961;E;3;Conchita Bautista;Estando contigo;8;9
46;1961;MC;3;Colette Deréal;Allons, allons les enfants;6;10
47;1961;AUT;3;Jimmy Makulis;Sehnsucht;1;15
48;1961;SF;3;Laila Kinnunen;Valoa ikkunassa;6;10
49;1961;YUG;3;Ljiljana Petrovic;Neke davne zvezde;9;8
50;1961;NL;3;Greetje Kauffeld;Wat een dag;6;10
51;1961;S;3;Lill-Babs;April, April;2;14
52;1961;D;3;Lale Andersen;Einmal sehen wir uns wieder;3;13
53;1961;F;3;Jean-Paul Mauric;Printemps (Avril carillonne);13;4
54;1961;CH;3;Franca di Rienzo;Nous aurons demain;16;3
55;1961;B;3;Bob Benny;September, gouden ross;1;15
56;1961;N;3;Nora Brockstedt;Sommer i Palma;10;7
57;1961;DK;3;Dario Campeotto;Angelique;12;5
58;1961;LUX;3;Jean Claude Pascal;Nous les amoureux;31;1
59;1961;UK;3;The Allisons;Are You Sure?;24;2
60;1961;I;3;Betty Curtis;Al die là;12;5
61;1962;SF;3;Marion Rung;Tipi-Tii;4;7
62;1962;B;3;Fud Leclerc;Ton nom;0;13
63;1962;E;3;Victor Balaguer;Llámame;0;13
