id;mode;from_country;from_country_key;to_country;to_country_key;points;year
13690;FINAL;The Netherlands;NL;Austria;AUT;1;1957
13691;FINAL;United Kingdom;UK;Austria;AUT;2;1957
13692;FINAL;Switzerland;CH;Belgium;B;1;1957
13693;FINAL;Germany;D;Belgium;B;2;1957
13694;FINAL;Denmark;DK;Belgium;B;2;1957
13695;FINAL;United Kingdom;UK;Denmark;DK;2;1957
13696;FINAL;Italy;I;Denmark;DK;3;1957
13697;FINAL;The Netherlands;NL;Denmark;DK;5;1957
13698;FINAL;The Netherlands;NL;France;F;1;1957
13699;FINAL;United Kingdom;UK;France;F;2;1957
13700;FINAL;Belgium;B;France;F;2;1957
13701;FINAL;Denmark;DK;France;F;2;1957
13702;FINAL;Luxembourg;LUX;France;F;4;1957
13703;FINAL;Germany;D;France;F;6;1957
13704;FINAL;Italy;I;Germany;D;1;1957
13705;FINAL;Belgium;B;Germany;D;1;1957
13706;FINAL;France;F;Germany;D;6;1957
13707;FINAL;Luxembourg;LUX;Italy;I;1;1957
13708;FINAL;Denmark;DK;Italy;I;1;1957
13709;FINAL;Belgium;B;Italy;I;1;1957
13710;FINAL;United Kingdom;UK;Italy;I;2;1957
13711;FINAL;The Netherlands;NL;Italy;I;2;1957
13712;FINAL;United Kingdom;UK;Luxembourg;LUX;1;1957
13713;FINAL;Austria;AUT;Luxembourg;LUX;3;1957
13714;FINAL;Italy;I;Luxembourg;LUX;4;1957
13715;FINAL;Italy;I;Switzerland;CH;1;1957
13716;FINAL;Germany;D;Switzerland;CH;1;1957
13717;FINAL;Luxembourg;LUX;Switzerland;CH;1;1957
13718;FINAL;Denmark;DK;Switzerland;CH;2;1957
13719;FINAL;United Kingdom;UK;The Netherlands;NL;1;1957
13720;FINAL;Germany;D;The Netherlands;NL;1;1957
13721;FINAL;Italy;I;The Netherlands;NL;1;1957
13722;FINAL;Denmark;DK;The Netherlands;NL;3;1957
13723;FINAL;Luxembourg;LUX;The Netherlands;NL;3;1957
13724;FINAL;France;F;The Netherlands;NL;4;1957
13725;FINAL;Belgium;B;The Netherlands;NL;5;1957
13726;FINAL;Austria;AUT;The Netherlands;NL;6;1957
13727;FINAL;Switzerland;CH;The Netherlands;NL;7;1957
13728;FINAL;Austria;AUT;United Kingdom;UK;1;1957
13729;FINAL;Belgium;B;United Kingdom;UK;1;1957
13730;FINAL;The Netherlands;NL;United Kingdom;UK;1;1957
13731;FINAL;Luxembourg;LUX;United Kingdom;UK;1;1957
13732;FINAL;Switzerland;CH;United Kingdom;UK;2;1957
13733;FINAL;Luxembourg;LUX;Austria;AUT;1;1958
13734;FINAL;Belgium;B;Austria;AUT;1;1958
13735;FINAL;Sweden;S;Austria;AUT;1;1958
13736;FINAL;Switzerland;CH;Austria;AUT;2;1958
13737;FINAL;France;F;Austria;AUT;3;1958
13738;FINAL;Denmark;DK;Belgium;B;1;1958
13739;FINAL;Sweden;S;Belgium;B;1;1958
13740;FINAL;Switzerland;CH;Belgium;B;1;1958
13741;FINAL;Germany;D;Belgium;B;5;1958
13742;FINAL;France;F;Denmark;DK;1;1958
13743;FINAL;Sweden;S;Denmark;DK;1;1958
13744;FINAL;The Netherlands;NL;Denmark;DK;1;1958
13745;FINAL;Switzerland;CH;France;F;1;1958
13746;FINAL;Luxembourg;LUX;France;F;1;1958
13747;FINAL;Sweden;S;France;F;1;1958
13748;FINAL;Belgium;B;France;F;1;1958
13749;FINAL;Germany;D;France;F;1;1958
13750;FINAL;Italy;I;France;F;6;1958
13751;FINAL;Austria;AUT;France;F;7;1958
13752;FINAL;Denmark;DK;France;F;9;1958
13753;FINAL;Sweden;S;Germany;D;1;1958
13754;FINAL;Austria;AUT;Germany;D;1;1958
13755;FINAL;Belgium;B;Germany;D;1;1958
13756;FINAL;France;F;Germany;D;2;1958
13757;FINAL;The Netherlands;NL;Italy;I;1;1958
13758;FINAL;France;F;Italy;I;1;1958
13759;FINAL;Switzerland;CH;Italy;I;1;1958
13760;FINAL;Sweden;S;Italy;I;1;1958
13761;FINAL;Austria;AUT;Italy;I;1;1958
13762;FINAL;Belgium;B;Italy;I;4;1958
13763;FINAL;Germany;D;Italy;I;4;1958
13764;FINAL;Switzerland;CH;Luxembourg;LUX;1;1958
13765;FINAL;Austria;AUT;Sweden;S;1;1958
13766;FINAL;Belgium;B;Sweden;S;1;1958
13767;FINAL;The Netherlands;NL;Sweden;S;2;1958
13768;FINAL;Switzerland;CH;Sweden;S;3;1958
13769;FINAL;Luxembourg;LUX;Sweden;S;3;1958
13770;FINAL;Belgium;B;Switzerland;CH;2;1958
13771;FINAL;France;F;Switzerland;CH;3;1958
13772;FINAL;Italy;I;Switzerland;CH;4;1958
13773;FINAL;Sweden;S;Switzerland;CH;4;1958
13774;FINAL;Luxembourg;LUX;Switzerland;CH;5;1958
13775;FINAL;The Netherlands;NL;Switzerland;CH;6;1958
13776;FINAL;Switzerland;CH;The Netherlands;NL;1;1958
13777;FINAL;Monaco;MC;Austria;AUT;1;1959
13778;FINAL;Switzerland;CH;Austria;AUT;1;1959
13779;FINAL;Sweden;S;Austria;AUT;2;1959
13780;FINAL;Monaco;MC;Belgium;B;1;1959
13781;FINAL;The Netherlands;NL;Belgium;B;1;1959
13782;FINAL;Denmark;DK;Belgium;B;2;1959
13783;FINAL;United Kingdom;UK;Belgium;B;2;1959
13784;FINAL;Germany;D;Belgium;B;3;1959
13785;FINAL;Switzerland;CH;Denmark;DK;1;1959
13786;FINAL;The Netherlands;NL;Denmark;DK;1;1959
13787;FINAL;Monaco;MC;Denmark;DK;1;1959
13788;FINAL;Italy;I;Denmark;DK;1;1959
